Host_Prot	Path_Prot	Similarity_Score
UNIPROT_AC:A8K865	UNIPROT_AC:Q02099	0.03
UNIPROT_AC:Q9Y3Z3	UNIPROT_AC:Q07393	0.09
UNIPROT_AC:Q13576	UNIPROT_AC:P0C6Z8	0.05
UNIPROT_AC:Q9TQ22	UNIPROT_AC:Q81VY7	0.015
UNIPROT_AC:Q9NQ55	UNIPROT_AC:P04620	0.035
UNIPROT_AC:P00492	UNIPROT_AC:P53829	0.12
UNIPROT_AC:Q14067	UNIPROT_AC:Q81V65	0.0
UNIPROT_AC:H7C0J9	UNIPROT_AC:Q7CHZ0	0.0
UNIPROT_AC:Q8NBI2	UNIPROT_AC:Q1HVD1	0.055
UNIPROT_AC:Q9Y2G1	UNIPROT_AC:P04620	0.05
UNIPROT_AC:P68431	UNIPROT_AC:P35256	0.0275
UNIPROT_AC:Q9BQA1	UNIPROT_AC:Q8AZK7	0.075
UNIPROT_AC:P55017	UNIPROT_AC:P69616	0.0225
UNIPROT_AC:Q13077	UNIPROT_AC:P03188	0.01
UNIPROT_AC:Q8N9N2	UNIPROT_AC:P36778	0.1025
UNIPROT_AC:Q13885	UNIPROT_AC:P05780	0.0275
UNIPROT_AC:P30480	UNIPROT_AC:Q9X334	0.065
UNIPROT_AC:P08217	UNIPROT_AC:P0CK49	0.025
UNIPROT_AC:P62847	UNIPROT_AC:P15682	0.03
UNIPROT_AC:Q9NY59	UNIPROT_AC:Q84940	0.115
UNIPROT_AC:P42766	UNIPROT_AC:P03454	0.055
UNIPROT_AC:P61247	UNIPROT_AC:Q82506	0.1025
UNIPROT_AC:P35998	UNIPROT_AC:P36801	0.09
UNIPROT_AC:Q14257	UNIPROT_AC:P17386	0.0275
UNIPROT_AC:Q9Y210	UNIPROT_AC:P06428	0.04
UNIPROT_AC:Q9UKQ2	UNIPROT_AC:P0C045	0.04
UNIPROT_AC:Q9NPJ6	UNIPROT_AC:Q81LQ9	0.045
UNIPROT_AC:P58549	UNIPROT_AC:P03496	0.09
UNIPROT_AC:Q9Y239	UNIPROT_AC:Q0HD54	0.2
UNIPROT_AC:Q8IXF0	UNIPROT_AC:P05777	0.04
UNIPROT_AC:P42224	UNIPROT_AC:Q9IK91	0.16
UNIPROT_AC:O75323	UNIPROT_AC:Q8AZK7	0.08
UNIPROT_AC:P62081	UNIPROT_AC:Q1HVF7	0.04
UNIPROT_AC:O14662	UNIPROT_AC:P24835	0.0375
UNIPROT_AC:Q8N1A6	UNIPROT_AC:P05777	0.025
UNIPROT_AC:Q86W42	UNIPROT_AC:P04620	0.065
UNIPROT_AC:Q7KZF4	UNIPROT_AC:P19811	0.13
UNIPROT_AC:P49796	UNIPROT_AC:Q7CFT0	0.0325
UNIPROT_AC:G1EPS2	UNIPROT_AC:Q8D0D5	0.035
UNIPROT_AC:P20962	UNIPROT_AC:P15659	0.045
UNIPROT_AC:A0A087WY48	UNIPROT_AC:Q74R28	0.0
UNIPROT_AC:O75311	UNIPROT_AC:Q6DP93	0.06
UNIPROT_AC:Q14696	UNIPROT_AC:P04578	0.075
UNIPROT_AC:O88448	UNIPROT_AC:P68619	0.0475
UNIPROT_AC:P57058	UNIPROT_AC:Q76RI8	0.0375
UNIPROT_AC:Q9UL15	UNIPROT_AC:P03070	0.1
UNIPROT_AC:Q8N2S1	UNIPROT_AC:Q7CFY4	0.0225
UNIPROT_AC:P49683	UNIPROT_AC:P03496	0.155
UNIPROT_AC:Q9Z0L2	UNIPROT_AC:Q9IH62	0.0375
UNIPROT_AC:P55265	UNIPROT_AC:Q6DP93	0.18
UNIPROT_AC:Q08380	UNIPROT_AC:O56264	0.055
UNIPROT_AC:P60014	UNIPROT_AC:P03427	0.01
UNIPROT_AC:Q71UM5	UNIPROT_AC:P03081	0.095
UNIPROT_AC:Q92574	UNIPROT_AC:Q81JK1	0.04
UNIPROT_AC:Q14204	UNIPROT_AC:P0CK48	0.02
UNIPROT_AC:P11940	UNIPROT_AC:Q9E7P0	0.1
UNIPROT_AC:J3QRN3	UNIPROT_AC:P15682	0.0
UNIPROT_AC:Q1RLK6	UNIPROT_AC:Q8AZK7	0.03
UNIPROT_AC:Q14103	UNIPROT_AC:P15682	0.03
UNIPROT_AC:Q5BK82	UNIPROT_AC:P03070	0.06
UNIPROT_AC:Q687X5	UNIPROT_AC:P24830	0.045
UNIPROT_AC:A6NFH5	UNIPROT_AC:P0C6Z1	0.02
UNIPROT_AC:Q9NPH2	UNIPROT_AC:Q8CZM8	0.12
UNIPROT_AC:Q5H9R7	UNIPROT_AC:P03427	0.04
UNIPROT_AC:Q15853	UNIPROT_AC:Q5NHE7	0.06
UNIPROT_AC:B3KNM6	UNIPROT_AC:P69730	0.03
UNIPROT_AC:Q8IZT8	UNIPROT_AC:P17386	0.095
UNIPROT_AC:K7EPY9	UNIPROT_AC:Q5NG68	0.0
UNIPROT_AC:P37840	UNIPROT_AC:P0CX86	0.16
UNIPROT_AC:P04432	UNIPROT_AC:P03495	0.09
UNIPROT_AC:Q91X51	UNIPROT_AC:P03081	0.035
UNIPROT_AC:Q92565	UNIPROT_AC:P03225	0.01
INTACT:EBI-1033611	UNIPROT_AC:Q5NIL8	0.0
UNIPROT_AC:F8WE33	UNIPROT_AC:Q81U22	0.01
UNIPROT_AC:Q76MJ5	UNIPROT_AC:Q3KST2	0.04
UNIPROT_AC:Q9H1D9	UNIPROT_AC:Q1I2B3	0.1775
UNIPROT_AC:P47756	UNIPROT_AC:P03470	0.03
UNIPROT_AC:Q9BQC4	UNIPROT_AC:P06422	0.0625
UNIPROT_AC:Q4W5I6	UNIPROT_AC:P03246	0.03
UNIPROT_AC:O15320	UNIPROT_AC:H9XIJ5	0.03
UNIPROT_AC:Q3SYB3	UNIPROT_AC:P0C739	0.045
UNIPROT_AC:O00165	UNIPROT_AC:Q5NE99	0.0675
UNIPROT_AC:Q8NFT2	UNIPROT_AC:P06725	0.0325
UNIPROT_AC:Q8TEE9	UNIPROT_AC:P0C737	0.03
UNIPROT_AC:Q8IWA5	UNIPROT_AC:P06428	0.03
UNIPROT_AC:P55285	UNIPROT_AC:P04608	0.0475
UNIPROT_AC:Q8N349	UNIPROT_AC:Q1HVI8	0.025
UNIPROT_AC:P29536	UNIPROT_AC:P36791	0.045
UNIPROT_AC:Q9BXT8	UNIPROT_AC:P0C6Z1	0.02
UNIPROT_AC:O14980	UNIPROT_AC:P0C739	0.0625
UNIPROT_AC:O95758	UNIPROT_AC:P15682	0.08
UNIPROT_AC:Q80ZS3	UNIPROT_AC:P27958	0.01
UNIPROT_AC:E7EV59	UNIPROT_AC:P16664	0.09
UNIPROT_AC:Q86Y07	UNIPROT_AC:P06463	0.12
UNIPROT_AC:Q8N661	UNIPROT_AC:P03433	0.0775
UNIPROT_AC:X5D7P8	UNIPROT_AC:P40036	0.045
UNIPROT_AC:Q96DU3	UNIPROT_AC:B4URF2	0.03
UNIPROT_AC:C9JL84	UNIPROT_AC:P03470	0.01
UNIPROT_AC:Q14699	UNIPROT_AC:Q5NH38	0.0475
UNIPROT_AC:Q12800	UNIPROT_AC:P35184	0.055
UNIPROT_AC:Q9UNF1	UNIPROT_AC:P06930	0.0275
UNIPROT_AC:O95816	UNIPROT_AC:P05777	0.04
UNIPROT_AC:P13501	UNIPROT_AC:Q7CKC3	0.035
UNIPROT_AC:P07992	UNIPROT_AC:Q77YF9	0.035
UNIPROT_AC:H3BS20	UNIPROT_AC:B4URF0	0.0
UNIPROT_AC:O95786	UNIPROT_AC:P04543	0.215
UNIPROT_AC:Q9BQE3	UNIPROT_AC:P03454	0.03
UNIPROT_AC:O43347	UNIPROT_AC:Q6SWB7	0.01
UNIPROT_AC:P80098	UNIPROT_AC:P06484	0.01
UNIPROT_AC:Q9H598	UNIPROT_AC:P03430	0.04
UNIPROT_AC:Q9HAP2	UNIPROT_AC:Q7CHY3	0.045
UNIPROT_AC:D6RDB3	UNIPROT_AC:Q5NI56	0.0
UNIPROT_AC:O75179	UNIPROT_AC:P88980	0.0125
UNIPROT_AC:P50914	UNIPROT_AC:P15659	0.045
UNIPROT_AC:O95976	UNIPROT_AC:Q5NH21	0.03
UNIPROT_AC:Q96AV8	UNIPROT_AC:P15659	0.09
UNIPROT_AC:Q12824	UNIPROT_AC:H9XIJ5	0.14
UNIPROT_AC:P05388	UNIPROT_AC:P03454	0.16
UNIPROT_AC:P19174	UNIPROT_AC:P03206	0.12
UNIPROT_AC:O43426	UNIPROT_AC:Q81X77	0.11
UNIPROT_AC:Q99962	UNIPROT_AC:P36801	0.04
UNIPROT_AC:Q9UKR3	UNIPROT_AC:P03182	0.0275
UNIPROT_AC:Q8NHX9	UNIPROT_AC:P03430	0.045
UNIPROT_AC:P08047	UNIPROT_AC:Q89268	0.185
UNIPROT_AC:P10599	UNIPROT_AC:P06428	0.095
UNIPROT_AC:P62244	UNIPROT_AC:P03427	0.1775
UNIPROT_AC:Q6ZMS4	UNIPROT_AC:P05777	0.04
UNIPROT_AC:Q9Y6C9	UNIPROT_AC:P0C6Z1	0.0725
UNIPROT_AC:P13682	UNIPROT_AC:Q7M6R1	0.01
UNIPROT_AC:P19112	UNIPROT_AC:Q6UK10	0.025
UNIPROT_AC:Q8N6L0	UNIPROT_AC:P38206	0.105
UNIPROT_AC:Q39249	UNIPROT_AC:P0AA25	0.11
UNIPROT_AC:Q61624	UNIPROT_AC:Q69139	0.03
UNIPROT_AC:Q9NQR4	UNIPROT_AC:Q81WY2	0.09
UNIPROT_AC:O95484	UNIPROT_AC:P36827	0.05
UNIPROT_AC:Q96JB8	UNIPROT_AC:Q05322	0.02
UNIPROT_AC:Q6P1W5	UNIPROT_AC:P53286	0.045
UNIPROT_AC:Q07020	UNIPROT_AC:P15659	0.04
UNIPROT_AC:P08047	UNIPROT_AC:P03087	0.055
UNIPROT_AC:P23321	UNIPROT_AC:P52231	0.1
UNIPROT_AC:O94979	UNIPROT_AC:Q7CGK0	0.045
UNIPROT_AC:P46821	UNIPROT_AC:P03430	0.045
UNIPROT_AC:P62195	UNIPROT_AC:P06463	0.15
UNIPROT_AC:Q5R3K3	UNIPROT_AC:A6YJF2	0.0625
UNIPROT_AC:P49675	UNIPROT_AC:P15659	0.075
UNIPROT_AC:Q08DI1	UNIPROT_AC:P29990	0.01
UNIPROT_AC:Q9D7P7	UNIPROT_AC:P06463	0.045
UNIPROT_AC:Q8NHQ1	UNIPROT_AC:P32902	0.085
UNIPROT_AC:E0WN73	UNIPROT_AC:P53900	0.03
UNIPROT_AC:P02647	UNIPROT_AC:P06428	0.1
UNIPROT_AC:Q8ND82	UNIPROT_AC:P03470	0.03
UNIPROT_AC:P07468	UNIPROT_AC:P12612	0.015
UNIPROT_AC:Q96PD5	UNIPROT_AC:P88951	0.06
UNIPROT_AC:P08913	UNIPROT_AC:P04544	0.185
UNIPROT_AC:O75446	UNIPROT_AC:P03454	0.03
UNIPROT_AC:Q9Y3D7	UNIPROT_AC:P32897	0.27
UNIPROT_AC:O00571	UNIPROT_AC:P03470	0.06
UNIPROT_AC:P46013	UNIPROT_AC:Q7CHZ0	0.08
UNIPROT_AC:A0A0G2R0W4	UNIPROT_AC:P03120	0.03
UNIPROT_AC:P40879	UNIPROT_AC:P04296	0.04
UNIPROT_AC:P55209	UNIPROT_AC:P03454	0.0575
UNIPROT_AC:B8X6N0	UNIPROT_AC:Q7DB50	0.03
UNIPROT_AC:Q9UKK3	UNIPROT_AC:Q81M31	0.0275
UNIPROT_AC:B4DEJ0	UNIPROT_AC:Q7CG61	0.015
UNIPROT_AC:Q7L7L0	UNIPROT_AC:Q84940	0.105
UNIPROT_AC:Q15149	UNIPROT_AC:P03317	0.025
UNIPROT_AC:P20294	UNIPROT_AC:P03070	0.075
UNIPROT_AC:C6K4J2	UNIPROT_AC:Q56974	0.0325
UNIPROT_AC:Q9Y6M1	UNIPROT_AC:Q7CJ96	0.03
UNIPROT_AC:Q13114	UNIPROT_AC:P03230	0.095
UNIPROT_AC:P40261	UNIPROT_AC:P03454	0.03
UNIPROT_AC:Q9BXI6	UNIPROT_AC:Q1I2B4	0.025
UNIPROT_AC:Q92737	UNIPROT_AC:P03430	0.06
UNIPROT_AC:O95740	UNIPROT_AC:P57083	0.02
UNIPROT_AC:Q76LX8	UNIPROT_AC:Q05127	0.13
UNIPROT_AC:Q8IW70	UNIPROT_AC:P0CK49	0.02
UNIPROT_AC:P0CG48	UNIPROT_AC:P38715	0.165
UNIPROT_AC:P67809	UNIPROT_AC:P05780	0.0525
UNIPROT_AC:F5H1C8	UNIPROT_AC:P40507	0.0275
UNIPROT_AC:O00755	UNIPROT_AC:Q82506	0.13
UNIPROT_AC:O43830	UNIPROT_AC:P0C762	0.01
UNIPROT_AC:O00635	UNIPROT_AC:Q02821	0.045
UNIPROT_AC:P01602	UNIPROT_AC:D1LN35	0.06
UNIPROT_AC:Q9H8F6	UNIPROT_AC:P15682	0.0
UNIPROT_AC:P51116	UNIPROT_AC:P03410	0.075
UNIPROT_AC:P00846	UNIPROT_AC:P06428	0.03
UNIPROT_AC:Q9P1Z3	UNIPROT_AC:P36780	0.045
UNIPROT_AC:A1XP52	UNIPROT_AC:Q12071	0.025
UNIPROT_AC:Q5T870	UNIPROT_AC:O92837	0.0225
UNIPROT_AC:P07900	UNIPROT_AC:P05777	0.0675
UNIPROT_AC:P36507	UNIPROT_AC:P24835	0.105
UNIPROT_AC:Q4VC31	UNIPROT_AC:P03317	0.01
UNIPROT_AC:P06733	UNIPROT_AC:P06929	0.115
UNIPROT_AC:Q14444	UNIPROT_AC:P04544	0.1
UNIPROT_AC:Q00341	UNIPROT_AC:P05777	0.03
UNIPROT_AC:Q3B837	UNIPROT_AC:P48232	0.0425
UNIPROT_AC:P42677	UNIPROT_AC:P03430	0.055
UNIPROT_AC:G0X8R1	UNIPROT_AC:P03428	0.0375
UNIPROT_AC:P09455	UNIPROT_AC:P03211	0.065
UNIPROT_AC:Q9GZQ8	UNIPROT_AC:P03454	0.045
UNIPROT_AC:I3PXU2	UNIPROT_AC:P17709	0.085
UNIPROT_AC:P62714	UNIPROT_AC:P38128	0.095
UNIPROT_AC:D3DSM0	UNIPROT_AC:Q8ZD36	0.03
UNIPROT_AC:H3BMC0	UNIPROT_AC:Q07540	0.0
UNIPROT_AC:Q5SXM2	UNIPROT_AC:Q0A2H1	0.0275
UNIPROT_AC:P49901	UNIPROT_AC:P06429	0.05
UNIPROT_AC:P11021	UNIPROT_AC:P36778	0.09
UNIPROT_AC:O43172	UNIPROT_AC:Q98157	0.04
UNIPROT_AC:C9J9D7	UNIPROT_AC:P15682	0.035
UNIPROT_AC:Q9HD43	UNIPROT_AC:P36810	0.0425
UNIPROT_AC:Q8IVM7	UNIPROT_AC:Q89268	0.0
UNIPROT_AC:O15523	UNIPROT_AC:P05777	0.0675
UNIPROT_AC:Q969F0	UNIPROT_AC:P03185	0.055
UNIPROT_AC:Q5T124	UNIPROT_AC:P03188	0.01
UNIPROT_AC:Q2QGD7	UNIPROT_AC:H9XIJ5	0.07
UNIPROT_AC:P30968	UNIPROT_AC:P03496	0.0525
UNIPROT_AC:H7C1K5	UNIPROT_AC:Q8ZEC9	0.0
UNIPROT_AC:Q9NUL3	UNIPROT_AC:B4URF1	0.0225
UNIPROT_AC:O94915	UNIPROT_AC:P15659	0.06
UNIPROT_AC:Q96LR2	UNIPROT_AC:P0CK47	0.025
UNIPROT_AC:Q8VCH9	UNIPROT_AC:P0C1C7	0.01
UNIPROT_AC:B4E1G8	UNIPROT_AC:Q81ZA2	0.015
UNIPROT_AC:P34810	UNIPROT_AC:Q81SE4	0.0675
UNIPROT_AC:P20226	UNIPROT_AC:P27958	0.1925
UNIPROT_AC:Q9UBW8	UNIPROT_AC:P05780	0.0275
UNIPROT_AC:P26992	UNIPROT_AC:P03211	0.06
UNIPROT_AC:Q6ZRD0	UNIPROT_AC:Q08601	0.03
UNIPROT_AC:P04844	UNIPROT_AC:P0C737	0.075
UNIPROT_AC:Q13105	UNIPROT_AC:P03508	0.045
UNIPROT_AC:P51116	UNIPROT_AC:Q06667	0.06
UNIPROT_AC:Q12846	UNIPROT_AC:P38736	0.235
UNIPROT_AC:Q5VV17	UNIPROT_AC:P05777	0.03
UNIPROT_AC:P26368	UNIPROT_AC:P03454	0.04
UNIPROT_AC:Q9P215	UNIPROT_AC:P03470	0.03
UNIPROT_AC:P20618	UNIPROT_AC:P13285	0.04
UNIPROT_AC:A8K737	UNIPROT_AC:Q6VE52	0.045
UNIPROT_AC:P84077	UNIPROT_AC:P03470	0.065
UNIPROT_AC:Q99615	UNIPROT_AC:P06429	0.05
UNIPROT_AC:P62750	UNIPROT_AC:Q82506	0.045
UNIPROT_AC:P62753	UNIPROT_AC:P15659	0.06
UNIPROT_AC:O60333	UNIPROT_AC:P03454	0.055
UNIPROT_AC:Q8NHA8	UNIPROT_AC:Q6QDQ4	0.01
UNIPROT_AC:Q9H1Q7	UNIPROT_AC:Q81P31	0.0
UNIPROT_AC:D5I7T1	UNIPROT_AC:Q3SBS4	0.04
UNIPROT_AC:O43432	UNIPROT_AC:Q8D0W1	0.035
UNIPROT_AC:P16188	UNIPROT_AC:P04544	0.1625
UNIPROT_AC:Q8WUX2	UNIPROT_AC:P05777	0.03
UNIPROT_AC:Q14679	UNIPROT_AC:P88970	0.01
UNIPROT_AC:P49458	UNIPROT_AC:Q82506	0.1025
UNIPROT_AC:Q9H819	UNIPROT_AC:P04544	0.01
UNIPROT_AC:Q5SZG1	UNIPROT_AC:Q02840	0.0225
UNIPROT_AC:Q9GZX7	UNIPROT_AC:P06843	0.1
UNIPROT_AC:B4DQS1	UNIPROT_AC:P15682	0.03
UNIPROT_AC:B2R621	UNIPROT_AC:Q12161	0.03
UNIPROT_AC:P78385	UNIPROT_AC:P06463	0.03
UNIPROT_AC:F2Z4J1	UNIPROT_AC:P14682	0.095
UNIPROT_AC:Q9NWA0	UNIPROT_AC:P04544	0.055
UNIPROT_AC:Q9JJA9	UNIPROT_AC:P03129	0.06
UNIPROT_AC:P22626	UNIPROT_AC:P03470	0.04
UNIPROT_AC:O14617	UNIPROT_AC:P04591	0.115
UNIPROT_AC:G1EPG3	UNIPROT_AC:Q81ME4	0.03
UNIPROT_AC:Q96HA1	UNIPROT_AC:Q2PJP1	0.1075
UNIPROT_AC:P17931	UNIPROT_AC:P03470	0.03
UNIPROT_AC:P62917	UNIPROT_AC:P05780	0.0525
UNIPROT_AC:B4DKU9	UNIPROT_AC:P40325	0.0
UNIPROT_AC:O75531	UNIPROT_AC:P03470	0.03
UNIPROT_AC:Q5PT55	UNIPROT_AC:P04618	0.0675
UNIPROT_AC:P62937	UNIPROT_AC:P12497	0.12
UNIPROT_AC:P26651	UNIPROT_AC:Q81N85	0.03
UNIPROT_AC:Q9H0V9	UNIPROT_AC:P06429	0.04
UNIPROT_AC:A0A087WU40	UNIPROT_AC:P15682	0.0
UNIPROT_AC:Q5H9J9	UNIPROT_AC:P03470	0.0
UNIPROT_AC:Q7Z6J9	UNIPROT_AC:P06929	0.08
UNIPROT_AC:Q0VD86	UNIPROT_AC:P05777	0.04
UNIPROT_AC:Q9ULX6	UNIPROT_AC:B4URF7	0.09
UNIPROT_AC:Q8TC59	UNIPROT_AC:P03454	0.03
UNIPROT_AC:Q59F22	UNIPROT_AC:P00830	0.065
UNIPROT_AC:Q9NX47	UNIPROT_AC:Q12015	0.125
UNIPROT_AC:Q8IYA8	UNIPROT_AC:P32502	0.075
UNIPROT_AC:D6CJC2	UNIPROT_AC:Q8CKI2	0.0325
UNIPROT_AC:O60755	UNIPROT_AC:P0CK50	0.01
UNIPROT_AC:Q9Y228	UNIPROT_AC:Q5NGV7	0.02
UNIPROT_AC:Q6ZYL4	UNIPROT_AC:P05780	0.045
UNIPROT_AC:Q15772	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:Q8NGX2	UNIPROT_AC:P06428	0.03
UNIPROT_AC:Q5W188	UNIPROT_AC:Q2KRY6	0.0275
UNIPROT_AC:P63267	UNIPROT_AC:Q9E7P0	0.025
UNIPROT_AC:P16615	UNIPROT_AC:Q89268	0.08
UNIPROT_AC:O00410	UNIPROT_AC:P03470	0.03
UNIPROT_AC:Q9UQC1	UNIPROT_AC:Q8ZD71	0.11
UNIPROT_AC:P61978	UNIPROT_AC:Q1HVI8	0.12
UNIPROT_AC:P63010	UNIPROT_AC:Q6DPA0	0.04
UNIPROT_AC:Q9H237	UNIPROT_AC:P06788	0.06
UNIPROT_AC:P62241	UNIPROT_AC:P03427	0.04
UNIPROT_AC:O08686	UNIPROT_AC:P03126	0.16
UNIPROT_AC:Q6LCE7	UNIPROT_AC:Q8QXP6	0.105
UNIPROT_AC:C9JB04	UNIPROT_AC:P15682	0.04
UNIPROT_AC:K7EPC7	UNIPROT_AC:P32844	0.0525
UNIPROT_AC:Q9NPF2	UNIPROT_AC:Q82506	0.105
UNIPROT_AC:A0FGR8	UNIPROT_AC:P03246	0.04
UNIPROT_AC:Q9P267	UNIPROT_AC:Q8ZDG9	0.0375
UNIPROT_AC:Q8IVU9	UNIPROT_AC:P05777	0.0
UNIPROT_AC:A0A141AZC0	UNIPROT_AC:Q8ZE20	0.0325
UNIPROT_AC:P25398	UNIPROT_AC:P04487	0.0425
UNIPROT_AC:V5L351	UNIPROT_AC:Q8D1M2	0.03
UNIPROT_AC:P47901	UNIPROT_AC:Q1HVG4	0.04
UNIPROT_AC:Q6PI77	UNIPROT_AC:Q6DP94	0.03
UNIPROT_AC:P42704	UNIPROT_AC:P05777	0.0625
UNIPROT_AC:Q96GC9	UNIPROT_AC:P06464	0.0575
UNIPROT_AC:Q9NRR4	UNIPROT_AC:P06927	0.075
UNIPROT_AC:P60891	UNIPROT_AC:P38340	0.155
UNIPROT_AC:Q8NHQ1	UNIPROT_AC:P46682	0.1
UNIPROT_AC:Q53FW9	UNIPROT_AC:P32368	0.0
UNIPROT_AC:P56597	UNIPROT_AC:Q89268	0.0675
UNIPROT_AC:O00116	UNIPROT_AC:P12520	0.045
UNIPROT_AC:P09012	UNIPROT_AC:B4URF1	0.0425
UNIPROT_AC:O94842	UNIPROT_AC:P14335	0.02
UNIPROT_AC:A0A0C4DGS5	UNIPROT_AC:P35184	0.0475
UNIPROT_AC:Q8TDM0	UNIPROT_AC:P0C737	0.02
UNIPROT_AC:B3KN60	UNIPROT_AC:Q81KY5	0.04
UNIPROT_AC:Q9Y336	UNIPROT_AC:P04608	0.045
UNIPROT_AC:P37840	UNIPROT_AC:P40036	0.175
UNIPROT_AC:D3DXG5	UNIPROT_AC:P38426	0.0825
UNIPROT_AC:A0A109VDZ1	UNIPROT_AC:P08518	0.015
UNIPROT_AC:Q8NH69	UNIPROT_AC:Q1HVF7	0.05
UNIPROT_AC:Q6UWM5	UNIPROT_AC:P06428	0.02
UNIPROT_AC:O15347	UNIPROT_AC:P0C739	0.045
UNIPROT_AC:Q8N456	UNIPROT_AC:P05780	0.01
UNIPROT_AC:P04792	UNIPROT_AC:Q20MH0	0.065
UNIPROT_AC:P36578	UNIPROT_AC:P03430	0.0425
UNIPROT_AC:Q07666	UNIPROT_AC:Q1I2B5	0.0375
UNIPROT_AC:Q15629	UNIPROT_AC:Q81LU4	0.05
UNIPROT_AC:A0A0K0QNW0	UNIPROT_AC:Q12161	0.0275
UNIPROT_AC:O43765	UNIPROT_AC:Q81WR2	0.0225
UNIPROT_AC:Q8N9I9	UNIPROT_AC:P03070	0.105
UNIPROT_AC:Q13509	UNIPROT_AC:P03430	0.04
UNIPROT_AC:Q9H380	UNIPROT_AC:Q8CZU2	0.0
UNIPROT_AC:Q6AHZ1	UNIPROT_AC:Q81WM3	0.0775
UNIPROT_AC:H7BY37	UNIPROT_AC:Q786F2	0.02
UNIPROT_AC:Q9BUJ2	UNIPROT_AC:P03519	0.03
UNIPROT_AC:Q7Z478	UNIPROT_AC:Q1HVJ2	0.01
UNIPROT_AC:Q08879	UNIPROT_AC:P06931	0.09
UNIPROT_AC:P02792	UNIPROT_AC:P06463	0.11
UNIPROT_AC:D3U3T5	UNIPROT_AC:Q8ZED8	0.035
UNIPROT_AC:B3KU59	UNIPROT_AC:Q81TH5	0.065
UNIPROT_AC:Q99877	UNIPROT_AC:P04608	0.0675
UNIPROT_AC:P47898	UNIPROT_AC:P04620	0.03
UNIPROT_AC:O15162	UNIPROT_AC:Q5NGT6	0.07
UNIPROT_AC:A6NJY1	UNIPROT_AC:Q89268	0.03
UNIPROT_AC:Q62673	UNIPROT_AC:Q6UK10	0.0225
UNIPROT_AC:P26373	UNIPROT_AC:P36801	0.04
UNIPROT_AC:Q86U38	UNIPROT_AC:Q2HRD4	0.0
UNIPROT_AC:Q9ER24	UNIPROT_AC:Q6UK10	0.04
UNIPROT_AC:P07195	UNIPROT_AC:Q8AZK7	0.03
UNIPROT_AC:Q8IXT2	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:M4YNN3	UNIPROT_AC:Q3KSV2	0.0275
UNIPROT_AC:A0A087X1S2	UNIPROT_AC:P17121	0.0575
UNIPROT_AC:Q9UHR5	UNIPROT_AC:P06430	0.0825
UNIPROT_AC:P26599	UNIPROT_AC:P03496	0.245
UNIPROT_AC:Q6XE38	UNIPROT_AC:P69700	0.01
UNIPROT_AC:Q53TC2	UNIPROT_AC:P38340	0.06
UNIPROT_AC:P05108	UNIPROT_AC:P04544	0.1125
UNIPROT_AC:H0Y992	UNIPROT_AC:P35180	0.0
UNIPROT_AC:Q13501	UNIPROT_AC:P04601	0.075
UNIPROT_AC:Q9BV99	UNIPROT_AC:P0CK49	0.0
UNIPROT_AC:A8K7T4	UNIPROT_AC:Q81LF9	0.02
UNIPROT_AC:A0A087WWE5	UNIPROT_AC:P68587	0.015
UNIPROT_AC:Q5QGT7	UNIPROT_AC:P06930	0.0325
UNIPROT_AC:Q6ZNK6	UNIPROT_AC:B4URE8	0.0
UNIPROT_AC:Q96BF6	UNIPROT_AC:P36778	0.1325
UNIPROT_AC:Q4G163	UNIPROT_AC:P03470	0.03
UNIPROT_AC:Q9Y3I0	UNIPROT_AC:P03496	0.075
UNIPROT_AC:P41145	UNIPROT_AC:P03496	0.195
UNIPROT_AC:Q86V42-3	UNIPROT_AC:P13186	0.045
UNIPROT_AC:P07327	UNIPROT_AC:P0C739	0.035
UNIPROT_AC:P25800	UNIPROT_AC:P03508	0.04
UNIPROT_AC:Q4V7D6	UNIPROT_AC:P11313	0.02
UNIPROT_AC:Q53F87	UNIPROT_AC:P31382	0.115
UNIPROT_AC:Q9BY11	UNIPROT_AC:Q1HVF7	0.0475
UNIPROT_AC:Q0D2L3	UNIPROT_AC:Q6UK10	0.02
UNIPROT_AC:P39656	UNIPROT_AC:P05780	0.0375
UNIPROT_AC:O60500	UNIPROT_AC:Q81X78	0.04
UNIPROT_AC:Q9GZZ7	UNIPROT_AC:P03177	0.0275
UNIPROT_AC:P54285	UNIPROT_AC:P03129	0.095
UNIPROT_AC:Q9UMX0	UNIPROT_AC:P40325	0.065
UNIPROT_AC:P00519	UNIPROT_AC:Q2KRY6	0.07
UNIPROT_AC:Q8IVM0	UNIPROT_AC:P19811	0.035
UNIPROT_AC:Q8N6Y0	UNIPROT_AC:Q20MD2	0.025
UNIPROT_AC:F5H442	UNIPROT_AC:Q81P43	0.09
UNIPROT_AC:P09543	UNIPROT_AC:P0CK50	0.02
UNIPROT_AC:Q8TED9	UNIPROT_AC:Q81KT8	0.03
UNIPROT_AC:P62851	UNIPROT_AC:Q20MH0	0.02
UNIPROT_AC:Q8TCU4	UNIPROT_AC:P04585	0.0625
UNIPROT_AC:E5RIN2	UNIPROT_AC:Q7CGH9	0.0
UNIPROT_AC:H0Y9B0	UNIPROT_AC:P40127	0.0
